Название,User ID,Тип объекта
Инженер-проектировщик по программе «Молодой специалист»,60752,
Стажер в Digital Marketing,60122,
Начинающий специалист / Стажер группы управления строительными проектами,57673,
Стажерская программа: Академия Стальных Возможностей. IT направления,56591,
Стажер в отдел маркетинга Сбермаркет,57673,
Стажер-аналитик,58099,
Стажер в отдел управления торговым пространством (Коммерческая служба),37657,
Стажер / специалист в группу оказания услуг организациям финансового сектора,16995,
Бесплатный мастер-класс от создательницы курса «Бизнес-презентации в PowerPoint»,57794,
Стажировка в команде SAP,57794,
Бесплатный мастер-класс «Как стать бизнес-аналитиком и пройти отбор в компанию мечты»,57769,
Marketing Intern,31465,
Mars Internship Experience Program (отдел маркетинга),31465,
Аналитик,57673,
Инженер-проектировщик по программе «Молодой специалист»,45995,
Как стать частью сильной FMCG-команды,2942,Статья
От студента до руководителя: пять основных видов найма,2942,Статья
Карьера в финансах,2942,Статья
Начинающий специалист / Стажер группы управления строительными проектами,56805,
Карьера в консалтинге,2626,Статья
Примите участие в совместном IT-проекте МФТИ и «Роскосмоса»,2683,
Бесплатный мастер-класс «Как стать бизнес-аналитиком и пройти отбор в компанию мечты»,2683,
Начни год правильно на Школе Changellenge >>,2683,
"Составьте резюме, которое принесет оффер на бесплатном вебинаре Школы Changellenge >>",2942,Компания
Онлайн-курс «Подготовка к GMAT»,2942,Курс
Бесплатный вебинар по решению бизнес-задач от Школы Changellenge >>,2942,Другое
Не бойся пробовать и получи крутую позицию на Дне Карьеры Changellenge >> Cup Moscow!,2942,Другое
Карьера в HR и рекрутменте,53935,Статья
Регистрируйся на кейс-чемпионат по решению стратегических бизнес-задач от P&G!,53935,Чемпионат
Не бойся пробовать и получи крутую позицию на Дне Карьеры Changellenge >> Cup Moscow!,53935,Чемпионат
Не бойся пробовать и получи крутую позицию на Дне Карьеры Changellenge >> Cup Moscow!,53935,Другое
Яндекс,3,
"Зарегистрируйся, чтобы узнать как прокачивать IT-компетенции и оставаться конкурентоспособными!",3,
Младший специалист в группу управления делами,3,
Акция Changellenge >> и ЛитРес: скидка 30% на все курсы Toolkit и промокоды на бизнес-литературу,3,
KPMG S&O Online Case Championship,3,
Лидерская программа Unilever Future Leaders Programme (направление HR),52805,Вакансия
Ресечер в группу подбора персонала,52805,Вакансия
Стажер в группу кадрового делопроизводства,52917,Вакансия
Стажер/специалист в департамент налогового консультирования,52917,Вакансия
Ресечер в группу подбора персонала,52917,Вакансия
Стажировка Sberseasons,52917,Вакансия
Стажировки в отделе продаж,27382,Вакансия
Хочешь узнать больше о функционале Excel? Регистрируйся на бесплатный вебинар до 24 ноября!,45100,
Стажировки в IT,6204,Вакансия
IT-department trainee,6204,Вакансия
KPMG Excel Tricks,2942,Мероприятие
Хочешь узнать больше о функционале Excel? Регистрируйся на бесплатный вебинар до 24 ноября!,2942,Мероприятие
PwC Financial Sector Intensive,2942,Мероприятие
PwC Insight from Inside,2942,Мероприятие
Стажер в PRGM,5453,Вакансия
Project Manager образовательных продуктов,47052,Вакансия
Решайся уже: как презентовать выводы на кейс-интервью,2942,Статья
Тест. Пройдете ли вы кейс-интервью?,2942,Статья
Карьера в менеджменте,2942,Статья
Шпаргалка по Excel для начинающих финансистов,2942,Статья
Как найти подход к любому человеку,2942,Статья
"Восемь советов, которые помогут привыкнуть к работе в офисе",2942,Статья
