,position,skills,position_lower
18,"Стажер/Консультант в группу по оказанию услуг в области корпоративного управления, управления рисками",участие совершенствование система внутренний контроль соответствие требование раздел 404 закон сарбэйнс оксли; участие процесс внутренний аудит; разработка оценка служба внутренний аудит; внедрение процесс управление риск; выполнение поручение менеджер проект руководитель направление; анализ структурирование данные excel; помощь подготовка презентация powerpoint; поиск информация открытый источник соответствие поручение; структурирование информация получить общение представитель клиент разработка рабочий процесс «as is»; составление текстовый документ word требование; высокий образование финансы экономика бухгалтерский учет компьютерный наука информационный технология студент последний курс возможность работать full time 40 час неделя; базовый знание понимание финансовый учет международный российский бизнес процесс система внутренний контроль; уровень английский язык ниже upper intermediate письменный устный; коммуникабельность навык деловой письменный речь; готовность командировка сверхурочный работа; желание развиваться профессионально выстраивать тесный взаимоотношение клиент коллега,"стажер/консультант в группу по оказанию услуг в области корпоративного управления, управления рисками"
19,Corporate finance associate,,corporate finance associate
20,Business Development / Sales Enablement Associate,,business development / sales enablement associate
21,Администратор SAP,полный спектр работа администрирование sap система bw4hana hana 20 xsa netweaver 74 75 businessobjects lumira data services; участие инициатива развитие sap система часть компетенция basis; участие решение высокоприоритетный инцидент часть basis компетенция; взаимодействие команда разработка поддержка sap система команда инфраструктура ос схд лвс срк требование; высокий образование; желательно опыт работа качество администратор linux oracle 1с; опыт работа nix система базовый знание sql знание основа построение бд; высокий уровень самоорганизация коммуникабельность стрессоустойчивость,администратор sap
22,Кредитный инспектор / Руководитель направления кредитования в Управление финансирования недвижимости,структурирование предоставление заемный капитал сделка приобретение строительство коммерческий жилой недвижимость также рефинансирование поток действовать объект коммерческий недвижимость разработка реализация схема кредитование; финансовый моделирование оценка стоимость эффективность кредитование; подготовка структурировать презентация материал кредитный комитет банк; участие подготовка кредитный документ такой term sheet проект решение кредитный одобрение кредитный документация требование претендовать позиция кредитный инспектор; опыт анализ структурирование финансирование проект сектор коммерческий жилой недвижимость привлечение собственный иить заемный капитал банковскихинвестиционный банковский структура 2 х год; глубокий понимание тенденция сектор рынок коммерческий жилой недвижимость; навык подготовка структурировать презентация материал кредитный комитет банк; высокий уровень самоорганизация высокий уровень аналитический способность; владение английский язык уровень ниже b1 intermediate направление cib претендовать позиция руководитель направление кредитование; опыт анализ структурирование финансирование проект сектор коммерческий жилой недвижимость привлечение собственный иить заемный капитал банковскихинвестиционный банковский структура практик сопровождение сделка ma оценка коммерческий недвижимость ведущий аудиторский иить брокерский компания 5 год; опыт структурирование предоставление заемный капитал сделка приобретение строительство коммерческий жилой недвижимость также рефинансирование поток действовать объект коммерческий недвижимость разработка реализация схема кредитование; глубокий понимание тенденция сектор рынок коммерческий жилой недвижимость; сильный навык финансовый моделирование оценка стоимость эффективность кредитование; навык подготовка структурировать презентация материал кредитный комитет банк; сильный презентационный навык умение четко понятно выражать свой мысль; навык разработка согласование внутренний нормативный документ; степень cfa являться преимущество; опыт структурирование сопровождение сделка английский право; опыт наставничество являться преимущество; владение английский язык уровень ниже b1 intermediate; четкий следование деловой этика,кредитный инспектор / руководитель направления кредитования в управление финансирования недвижимости
23,"Team Lead Data Scientist (RecSys, NLP, CV)",выдвижение проверка гипотеза улучшение качество модель; доведение разработать модель промышленный внедрение вместе команда разработка; поддержка совершенствование реализовать модель; rec sys улучшение пользовательский модель рекомендация внутренний продукт; nlp classification ner entit linking segmentation требование; навык работа lightfm svd разложение collaborative filtering neural collaborative filtering matrix factorisation lightgbm transformer рекуррентный сеть gru lstm semantic embedding word embedding stemming lemmatization; знание computer science; ml dl ml стек python numpy pandas pytorch docker git; умение работать команда; навык планирование работа,"team lead data scientist (recsys, nlp, cv)"
24,QA engineer (тестировщик) 1C,функциональный регрессионный интеграционный тестирование; согласование план сценарий тестирование поддержка сценарий актуальный состояние; подготовка тестовый данные; составление отчет результат тестирование; заведение мониторинг дефект; взаимодействие аналитик разработчик рп; автоматизация процесс тестирование создание поддержка тест vanessa automation; оценка покрытие функциональность автоматический ручной тест требование; профильный опыт работа 1с 2 год; знание методология типовой конфигурация 1с розница 1с ут 11 логистика складской учет работа торговый оборудование заказ клиент; работа документация тз бфт; знание принцип организация процесс тестирование анализ требование написание чек лист тест кейс внесение дефект; способность работать команда; опыт построение процесс тестирование; умение быстро разбираться новый функционал,qa engineer (тестировщик) 1c
25,Томи Тест,разработка решение бизнес потребность возможность дальнейший переиспользование sdk api messaging; участие развитие платформа предложение архитектура тестирование автоматизация поставка; локальный исследование r d необходимость применение хороший практика требование; опыт коммерческий разработка 1 год java 8 выше; hibernate liquibase; java 8 11; java 8 collections io; multithreading synchronization javautilconcurrent; postgresql; kafka; hazelcast; netflix eureka zuul microservices; elasticsearch; docker; kubernetes; git; maven; linux,томи тест
26,Data Scientist,решать бизнес задача помощь анализ данные машинный обучение; проводить поиск выгрузка статистический анализ обработка данные; строить валидировать модель машинный обучение; участвовать внедрение ds решение бизнес процесс; внедрение ml решение персонализация продуктовый предложение клиент next best offer; поиск аномалия оборудование приоритизация инцидент; антифрод кибербезопасность; приоритезация строительствамодернизация базовый станция прогноз трафик бс прогноз доходность новый территория; моделирование ltv абонент внедрение дать концепция бизнес процесс компания; модель отток различный upliftresponse модель сегментация база аb тестирование аналитика кампания; построение профиль абонент мэтчинга сие карта поиск социальный группа построение различный показатель профиль эмбеддинг фича абонент текст кликстрим геоданные тп; задача гео данные; участие развитие ds инфраструктура внутренний библиотека требование; уверенный владение python основный ml библиотека numpy pandas sklearn lightgbm тп; понимание классический метод алгоритм машинный обучение опыт применение практика; хороший знание sql умение копаться источник опыт работа инструмент экосистема hadoop hive spark готовность быстро освоить; умение переложить бизнес задача язык анализ данные подобрать соответствовать алгоритм учет требование ограничение интерпретировать результат; хороший знание теория вероятность математический статистика,data scientist
27,Бизнес-аналитик,разработка утверждение бизнес архитектура it решение; анализ cjm клиент декомпозиция бизнес возможность рамка клиентский путь; обследование описание оптимизация бизнес процесс весь клиентский путь; формирование технический возможность системпродукт соответствующий бизнес процессоввозможность рамка соответствовать область; управление скоуп требование; формирование высокоуровневый требование согласование детальный требование система; взаимодействие поставщик it решение формирование запрос изменение необходимый компания; разработка утверждение высокоуровневый архитектура решение продукт hld; предложение оптимальный решение технический реализация продукт; формирование требование анализ решение рамка тендер; подготовка it решение утверждение архитектурный комитет требование; специализацияквалификация программный обеспечение вычислить машина прикладной математик системный программирование; профессиональный опыт работа менее 2 год область сфера it бизнес анализ архитектура разработка тестирование; навык сбор формализация бизнес требование написание технический документация; опыт создание макет ui использование диаграмма uml bpmn др; разработка регламент взаимодействие внешний система тч описание интерфейс rest wsdl openapi тд; технология предоставление базовый дополнительный услуга фиксировать мобильный связь интернет iot; английский язык intermediate; опыт работа jira иить confluence включая основной плагин; опыт работа проект динамический управление agile scrum kanban; знание нотация моделирование идеал uml bpmn,бизнес-аналитик
