,position,skills,position_lower
145,HR Admin Proximity Specialist/Территориальный специалист по кадровым вопросам,проведение экспертиза первичный кадровый документация соответствие трудовой законодательство внутренний политик компания; консультация сотрудник вопрос кадровый администрирование число трудовой законодательство расчет заработный плата комментарий расчетный лист; подписание сотрудник кадровый документ; знакомство сотрудник утвердить компания лна внутренний процесс процедура; ведение учет рабочий время вверить подразделение; представление интерес компания государственный орган; подготовка предоставление сотрудник справка трудовой деятельность копия кадровый документ число трудовой книжка; ведение воинский учет; заполнение отчетность требование; закончить высокий образование; опыт работа сфера кадровый администрирование 2 год опыт кадровый администрирование численность 150 200 человек; знать офисный программа 1c зуп 83; знать трудовой кодекс рф правило ведение кадровый учет; твой английский язык уровень intermediate являться конкурентный преимущество; уметь работать больший объем информация внимательный деталь; отличный коммуникативный навык грамотный устный письменный речь,hr admin proximity specialist/территориальный специалист по кадровым вопросам
146,HR Admin Proximity Specialist/Территориальный специалист по кадровым вопросам,проведение экспертиза первичный кадровый документация соответствие трудовой законодательство внутренний политик компания; консультация сотрудник вопрос кадровый администрирование число трудовой законодательство расчет заработный плата комментарий расчетный лист; подписание сотрудник кадровый документ; знакомство сотрудник утвердить компания лна внутренний процесс процедура; ведение учет рабочий время вверить подразделение; представление интерес компания государственный орган; подготовка предоставление сотрудник справка трудовой деятельность копия кадровый документ число трудовой книжка; ведение воинский учет; заполнение отчетность требование; закончить высокий образование; опыт работа сфера кадровый администрирование 2 год опыт кадровый администрирование численность 150 200 человек; знать офисный программа 1c зуп 83; знать трудовой кодекс рф правило ведение кадровый учет; твой английский язык уровень intermediate являться конкурентный преимущество; уметь работать больший объем информация внимательный деталь; отличный коммуникативный навык грамотный устный письменный речь,hr admin proximity specialist/территориальный специалист по кадровым вопросам
147,Ассистент специалиста по кадровому делопроизводству,обработка запрос сотрудник справка копия трудовой книжка копия другой кадровый документ; взаимодействие курьерский служба вопрос отправка документ; обработка кадровый документ печать организация подписание сотрудник удаленный ведение реестр движение кадровый документ требование; высокий образование учиться вуз; уверенный пользователь ms office; готовый работать полный рабочий день; уметь работать режим многозадачность быстро реагировать запрос расставлять приоритет; уметь эффективно коммуницировать разный человек,ассистент специалиста по кадровому делопроизводству
148,Стажер в группу подбора персонала,работа команда опытный рекрутер закрытие вакансия один направление наш бизнес; оценка кандидат резюме первый контакт они координация заочный очный этап отбор; помощь проведение hr интервью; участие интервью нанимать менеджер; участие карьерный мероприятие ярмарка вакансия кейс чемпионат ассессмент центр тд; ведение кандидат рекрутмент система; работа отчетность; участие проект связанный привлечение персонал требование; высокий образование желательно сфера управление персонал менеджмент психология; готовность работать 40 час неделя; нацеленность результат отличный навык коммуникация стрессоустойчивость; умение работать команда; высокий мотивация развиваться внутри один компания; английский язык ниже уровень intermediate,стажер в группу подбора персонала
149,Младший консультант (SAP GRC) в департамент управления рисками,оказание содействие проведение анализ бизнес процесс процесс it обеспечение; выявление оценка риск связанный автоматизированный бизнес процесс; оценка проектирование внедрение бизнес процесс it зависимый автоматизированный средство контроль; оценка разделение полномочие автоматизированный бизнес процесс требование; высокий образование область экономика финансы бизнес информатика прикладной математика; понимание фундаментальный принцип финансовый управленческий учет также информационный технология; внимание деталь уверенный аналитический навык также способность брать ответственность решение задача; умение работать команда выполнять несколько задача одновременно; высокий степень личный мотивация стремление профессиональный рост; умение выполнять работа сжатый срок соблюдение высокий уровень качество; отличный навык устный письменный общение русский английский язык; безоговорочный готовность командировка наличие право проживание работа территория российский федерация,младший консультант (sap grc) в департамент управления рисками
150,Консультант в группу по оказанию услуг работодателям и физическим лицам,консультирование российский иностранный специалист вопрос персональный налогообложение рф; анализ компенсация клиент включая инвестиционный портфель ценный бумага криптовалюта так далее точка зрение ндфл; взаимодействие коллега зарубежный офис «делойта» вопрос персональный налогообложение; проверка подготовка российский декларация ндфл; обеспечение высокий качество обслуживание клиент тесный сотрудничество клиент цель развитие деловой отношение создание новый возможность компания; работа состав межфункциональный команда специалист требование; высокий образование; базовый знание область налогообложение частность знание область персональный налогообложение быть являться преимущество; умение работать команда выполнять несколько проект одновременно; ориентированность результат способность выполнять работа сжатый срок; высокий степень личный мотивация энергичность желание достигать высокий результат; превосходный коммуникативный навык свободный владение русский английский язык умение формулировать составлять представлять аудитория четкий сжатый заключение налоговый вопрос,консультант в группу по оказанию услуг работодателям и физическим лицам
151,SMM-специалист,разработка контент план ежемесячный основа; определение потребность новый контент; инфографик фото видео; размещение пост соцсеть vk facebook соответствие контент стратегия; копирайт подводка пост; рерайтингкопирайтинг новость объявление тч оперативный; общение аудитория сообщество работа комментарий вопрос негатив; аналитика vk facebook прошествие месяц; рекомендация платный продвижение конкретный пост требование; опыт работа сфера smm 1 год; лингвистический филологический образование; обязательно наличие доп образование область smm специальный курс повышение квалификация; знание современный тренд умение работать разный тип целевой аудитория; базовый пользователь графический программа тч canva; уровень владение английский язык upper intermediate,smm-специалист
152,Инженер проектов,управление проект бумажный производство; организация работа проект производство координация совместный действие служба контроль качество технический обслуживание; анализ эффективность выполнять работа проект; организация обучение инструктаж контроль работа персонал занятой непосредственно работа выполнение проект требование; высокий технический образование; опыт работа производство 1 год; уровень владение английский язык pre intermediate,инженер проектов
153,Стажер в отдел склада готовой продукции,своевременный сбор проверка корректность акт мх1 ucm также проверка физический приход продукт; сверка фактический данные система sap акт мх1 мх3; предоставление данные необходимый корректировка генеральный директор ucm; составление акт мх3 основание фактически отгрузить продукция; проверка ведение файл ucm файл учет продукция ucm; проверка контрольный отгрузка; проведение jsa; проведение safety bos аудит; ознакомление пересмотр процедура склад готовый продукция; проверка сток выписать продукт который полностью выписать; отслеживание выпуск новый сертификат обновление база данные этот сертификат требование; высокий технический образование; ваш желание развиваться международный компания; продвинуть пользователь ms office ms excel ms powerpoint ms word; базовый уровень владение английский язык желательно,стажер в отдел склада готовой продукции
154,Intern Forensic Agribusiness Sector,,intern forensic agribusiness sector
155,"Executive/Associate, Deal Strategy Group, Deal Advisory",,"executive/associate, deal strategy group, deal advisory"
156,Младший аналитик отдела по работе с ключевыми клиентами,подготовка регулярный отчет excel презентация powerpoint; сбор проверка анализ данные региональный сотрудник; работа внутренний crm система загрузка выгрузка данные; работа портал клиент загрузка выгрузка данные; обработка запрос предоставление скидка; ведение документооборот ключевой клиент подготовка проверка контроль; контроль исполнение задача сбор данные запрос; контроль бюджет коммуникация смежный отдел; контроль погашение дебиторский задолженность требование; высокий образование возможно студент последний курсовмагистратура вечерний обучение; уверенный пользователь microsoft office excel powerpoint word; знание макрос excel powerquery powerpivot ms access преимущество; владение английский язык ниже intermediate; высокий работоспособность внимательность системность мышление аналитический навык,младший аналитик отдела по работе с ключевыми клиентами
157,Стажер в группу по консультированию в сфере IT (IT-Аудит),участие множество проект it аудит; встреча представитель it бизнес самый известный компания отрасль банк телеком завод логистика; проведение интервью тестирование получение знание it система инфраструктура процесс компания клиент кпмг; оценка it риск способ который применяться устранение; документирование результат выполнить работа подготовка рекомендация устранение обнаружить недостаток требование; высокий образование технический экономический студент последний курс возможность работать полный рабочий день 40 час неделя; базовый знание информационный технология область аудит иб разработка внедрение консультирование администрирование; базовый знание способность быстро выучить sql продвинуть excel; отличный устный письменный русский язык; английский устный письменный ниже intermediate; готовность способность быстрый обучение,стажер в группу по консультированию в сфере it (it-аудит)
158,Аналитик в практику технологического консалтинга (банки),проектирование разработка внедрять решение поддерживать бизнес процесс клиент индустрия финансовый услуга; выполнять работа проектирование приложение например написание функциональный дизайн проектирование пользовательский интерфейс тестирование юзабилить; создание функциональный требование качество входной данные разработка приложение; документирование бизнес требование; помощь построение тестирование развертывание требование; вуз itматематическойтехническойэкономическойфинансовый специальность; готовый совмещать работа учеба работать 32 час неделя работать полный рабочий день; интерес информационный технология; аналитический мышление; хороший знание английский язык,аналитик в практику технологического консалтинга (банки)
159,Аналитик в практику IT-инфраструктуры и облачных решений,участие разработка it инфраструктурный решение; участие планирование внедрение миграция; участие внедрение решение проведение миграция; проведение визуализация материал вид презентация диаграмма; анализ доступный решение конкретный задача технический решение выбор хороший; участие создание модель оценка эффективность решение; сбор подготовка требование система; участие проведение интервью представитель компания клиент; развитие технический навык it инфраструктура облачный решение система мониторинг средство автоматизация devops; создание проектный документация требование; готовый работать полный рабочий день; знать английский язык уровень intermediate выше; иметь отличный теоретический практический навык полгода ит сфера; знание язык программирование плюс; готовый пройти профильный тестирование,аналитик в практику it-инфраструктуры и облачных решений
160,Analyst Natural Resources Consulting,проведение индустриальный аналитический работа нахождение возможность улучшение бизнес процесс; анализ потребность компания; клиент проект; развитие поддержание коммуникация клиент коллега проект; развитие знание навык технология современный it платформа; поддержание внедрение новый бизнес подход требование; студент 1 2 курс магистратура itтехническойматематическойmetals mining специальность недавно закончить обучение вуз; готовность работать полный рабочий день; отличный теоретический практический навык полгода it сфера промышленный индустрия; иметь базовый знание sql python; высокий уровень английский язык upper intermediate,analyst natural resources consulting
161,Intern/Analyst SAP Consulting,активный участие сбор анализ бизнес требование задача клиент; подготовка проектный документация описание бизнес процесс; конфигурациядизайн решение sap основа требование клиент; подготовка проектный документация протокол настройка написание спецификация; проведение поддержка тестирование; обучение ключевой пользователь; миграция данные сбор анализ редактирование загрузка; поддержка продуктивный старт поддержка запуск; исследование анализ решение проблема возникать внедрение требование; возможно студент 4 курс бакалавриат 1 2 курс магистратура недавно закончить обучение вуз ит технический специальность; готовность совмещать работа учеба работать 32 час неделя работать полный рабочий день; знание английский язык уровень upper intermediate выше; отличный теоретический практический навык полгода it сфера; знание язык программирование приветствоваться,intern/analyst sap consulting
162,"Intern/Analyst (Management & Technology Consulting/ FMCG, Retail, Pharma)",помощь проведение гэп анализ требование бизнес система; подготовка функциональный требование вид данные ввод система; документирование бизнес процесс схема; тестирование решение поддержка решение ключевой пользователь; миграция данные сбор анализ редактирование загрузка; развитие технический навык sap oracle др; поддержка решение внедрение; участие проект оптимизация бизнес процесс крупный компания требование; недавний выпускник вуз студент 4 курс бакалавриат 1 2 курс магистратура; направление обучение it технический engineering supply chain management специальность преимущество; готовность совмещать работа учеба работать 32 час неделя полный рабочий день; знание английский язык уровень upper intermediate выше; иметь отличный теоретический практический навык полгода ит сфера; знание язык программирование приветствоваться; готовность пройти профильный тестирование,"intern/analyst (management & technology consulting/ fmcg, retail, pharma)"
163,Консультант начального уровня в группу по сопровождению сделок в области корпоративных финансов,первичный обработка данные подготовка аналитический таблица график excel power point основание отчет учетный система управленческий информация презентация; анализ предоставить данные включая выявление основный тренд анализ структура динамика доходность основный направление бизнес проработка логический структура анализ; участие подготовка материал проведение интервью руководство компания; участие выявление финансовый риск расчет корректировка цена сделка; подготовка презентационный материал тч участие написание аналитический отчет результат провести анализ требование; степень бакалавр область финансы бухгалтерский учет экономика предпочтительно; базовый знание рсб понимание мсфо; знание основа корпоративный финансы; отличный навык работа ms excel powerpoint; отличный навык командный работа; способность работать условие сжатый срок; отличный навык устный письменный общение русский английский язык; готовность командировка кандидат,консультант начального уровня в группу по сопровождению сделок в области корпоративных финансов
164,Консультант начального уровня в группу по консультированию в области киберрисков,оказание содействие проведение анализ бизнес процесс процесс it обеспечение; выявление оценка риск связанный автоматизированный бизнес процесс; оценка проектирование внедрение бизнес процесс it зависимый автоматизированный средство контроль; оценка разделение полномочие автоматизированный бизнес процесс требование; высокий образование область экономика финансы бизнес информатика прикладной математика; понимание фундаментальный принцип финансовый управленческий учет также информационный технология; внимание деталь уверенный аналитический навык также способность брать ответственность решение задача; умение работать команда выполнять несколько задача одновременно; высокий степень личный мотивация стремление профессиональный рост; умение выполнять работа сжатый срок соблюдение высокий уровень качество; отличный навык устный письменный общение русский английский язык; безоговорочный готовность командировка наличие право проживание работа территория российский федерация,консультант начального уровня в группу по консультированию в области киберрисков
165,Стажер в отдел анализа систем внутреннего контроля в департамент управления рисками,участие консультационный проект связанный совершенствование рационализация система внутренний контроль; содействие построение внедрение эффективный функция внутренний контроль; оптимизация функция внутренний контроль помощь проведение тренинг независимый оценка функция включая сравнение индустрия хороший практика требование; обучение последний курс предпочтительно область экономика финансы бизнес экономический безопасность; готовность работать 20 час неделя; понимание фундаментальный принцип финансовый управленческий учет; высокий уровень личный мотивация сильный желание добиться успех карьера; умение выполнять работа сжатый срок соблюдение высокий стандарт качество; прекрасный навык межличностный общение; понимание комплексный бизнес процесс связанный они риск; уверенный аналитический навык также умение брать ответственность решение задача; отличный навык устный письменный общение русский английский язык; частичный готовность командировка наличие право проживать работать территория российский федерация,стажер в отдел анализа систем внутреннего контроля в департамент управления рисками
166,Бизнес-аналитик в группу по оказанию услуг компаниям ресурсного сектора отдела операционной деятельности,полный вовлеченность процесс следование цель «делойта» оказание услуга рамка проект территория клиент; изучение отраслевой практика метод повышение ценность проектный результат реализация проект; тесный взаимодействие руководство клиент ответственный операционный управление включая проведение интервью коллективный обсуждение тренинг презентация проектный результат; проведение комплексный количественный анализ моделирование операция компания клиент; активный участие подготовка презентация клиент предпродажный мероприятие требование; диплом высокий образование отличие; развитой вычислительный способность; отличный знание умение применять электронный таблица база данные аналитический среда; опыт участие один год проект сфера консалтинг иить либо отрасль должность консультант; умение эффективно работать команда; отличный навык устный письменный общение русский английский язык; безоговорочный готовность командировка россия граница,бизнес-аналитик в группу по оказанию услуг компаниям ресурсного сектора отдела операционной деятельности
167,Младший координатор по работе с субподрядчиками административного центра обслуживания,координация внутренний проверка подписание договор субподряд; взаимодействие субподрядчик запрос необходимый документ; создание запрос оплата услуга субподрядчик; работа первичный документация сбор передача документ соответствующий внутренний отдел компания; отслеживание срок действие договор уведомление проектный команда; координация процесс продление расторжение договор субподряд требование; высокий образование; отличный навык устный общение ведение деловой переписка русский английский язык; опыт административный поддержка западный компания являться преимущество; высокий уровень организация развитой коммуникативный навык; способность работать многонациональный коллектив; высокий уровень владение пк программа microsoft office использование интернет,младший координатор по работе с субподрядчиками административного центра обслуживания
168,"Младший специалист по работе с кадровыми системами, анализу и отчетности филиала",подготовка регулярный отчет соответствие каталог запрашивать отчет; поддержание актуальность данный каталог; консолидация контроль данные планирование персонал подготовка аналитический отчет; контроль корректировка справочник департамент использовать система; контроль отображение поддержание актуальный состояние текущий структура компания кадровый система; консультирование сотрудник руководитель вопрос связанный отчетность персонал; обеспечение своевременный предоставление корректный данные формирование пересмотр бюджет персонал соответствие стандарт компания; контроль качество данные система; поддержание актуальность наполнение интернет страница ацо; ведение контроль данные программа электронный ресурс компания требование; высокий образование обучение последний курс вуз сфера финансы экономика бизнес информатика; знание английский язык уровень intermediate; продвинуть уровень владение пк частность microsoft excel; внимательность аналитический мышление,"младший специалист по работе с кадровыми системами, анализу и отчетности филиала"
169,Инженер АСУТП,своевременный обеспечение технический обслуживание замена ремонт электрический электронный часть технологический оборудование; обеспечение надежность бесперебойный работа электрический электронный оборудование; участие монтаж устройство система автоматический управление регулирование технологический процесс; контроль правильный эксплуатация реконструировать модернизировать электронный оборудование; участие разработка инструкция технический документация; соблюдение правило охрана труд промышленный безопасность техника безопасность требование; высокий средний профессиональный технический образование; опыт работа сфера промышленный электроника менее 3 х год,инженер асутп
170,Инженер-технолог,контроль процесс аттестация продукция сменный персонал закрепить передел дисциплина правильность исполнение технология пооперационный контроль процесс насколько оператор мастер выполнять технологический дисциплина; определение контроль внедрение мера коррекция сдерживать мероприятие случай нарушение технология; осуществление экспертный поддержка обучение персонал занятой аттестация; обучение персонал закрепить участок требование нормативный технический документация; обеспечение настройка диагностика оборудование закрепить участок; проведение опытный работа подбор режим производство новый продукция продукция специальный допуск; контроль тестирование материал использоваться технологический передел требование; высокий технический образование; стаж работа дать отрасль менее 3 х год; знание технологический процесс производство фанера; владение офисный outlook word excel powerpoint,инженер-технолог
171,Специалист по развитию бизнес-системы,анализ эффективность производственный управленческий процесс; определение целевой состояние процесс; разработка мероприятие достижение целевой состояние процесс; анализ участие процесс оптимизация постановка цель кпэ работник участок внутренний клиент; оценка потенциал улучшение экономический эффект закрепить участок; участие расчет технический экономический эффект; планирование разработка реализация организационно технический мероприятие повышение эффективность производственный иной процесс проведение оценка экономический эффект; организация проведение контроль производственный эксперимент; участие разработка стандарт работа персонал повышение эффективность; участие разработка программа обучение проведение обучение осуществление периодический контроль проверка знание получить ход обучение; оказание методологический помощь подразделение требование; высокий профессиональный образование опыт работа производство менее год; обязательно; уверенный пользователь пк мs office outlook; личный вовлеченность приверженность ценность компания; высокий уровень стрессоустойчивость умение работать режим многозадачность; организаторский способность инициативность самостоятельность принятие решение ориентация конечный результат; хороший коммуникационный навык ведение переговоры умение выстраивать хороший рабочий отношение коллега различный подразделение; ответственность системный мышление высокий аналитический способность гибкость открытость,специалист по развитию бизнес-системы
